,address,location,AWB,names,product_id,lat,lng
35,"1260 SY 35/4 SJR Tower's, 24th Main Puttanhalli, 7th Phase, JP Nagar Bangalore",JP Nagar,38777880457,Karen Yuen,SKU_137,12.89687,77.58422
36,"1260 SY 35/4 SJR Tower's, 24th Main Puttanhalli, JP Nagar 7th Phase, Bangalore",JP Nagar,14876577908,John Fridley,SKU_21,12.89687,77.58422
37,"1260, SY 35/4, SJR Towers, 24th Main Puttanhalli, 7th Phase, JP Nagar, Bangalore",JP Nagar,15743308603,Louise Lynch,SKU_15,12.89689,77.58479
38,"1260 SY 35/4 SJR Tower's, JP Nagar 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",JP Nagar,96594637899,Sam Vest,SKU_83,12.89689,77.58479
39,"1260, SY 35/4, SJR Towers, 24th Main Puttanhalli, 7th Phase, JP Nagar, Bangalore",JP Nagar,75423501902,Doris Floyd,SKU_143,12.89689,77.58479
40,"5th A Cross, Lakshmi Complex, Manjunatha Colony, Near RV Dental College, 2nd phase, JP Nagar, Bangalore",JP Nagar,13385067871,Leticia Coleman,SKU_28,12.91276,77.58637
41,"#35/4, 24th main JP Nagar 7th phase, Puttenahalli, JP Nagar, Bangalore",JP Nagar,25281194232,Christine Pfeiff,SKU_117,12.90102,77.58603
42,"99/2A, Kothnoor Main Road, Opposite RBI Layout Bus Stop, 7th Phase, JP Nagar, Bangalore",JP Nagar,60615787248,William Rivera,SKU_77,12.88804,77.58199
43,"77/1, 24th Main, 2nd Phase, JP Nagar, Bangalore",JP Nagar,85830764356,John Dutton,SKU_144,12.91395,77.58573
44,"18th Cross road, 5th Phase, JP Nagar, Bangalore",JP Nagar,87207515803,Angela Cowman,SKU_59,12.90229,77.58998
45,"1260, SY 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",JP Nagar,62376246282,Edward Leon,SKU_123,12.89687,77.58422
46,"1260 SY 35/4 SJR Tower's, JP Nagar 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",JP Nagar,34763837898,Michael Parenteau,SKU_141,12.89689,77.58479
47,"Shop 1, 129, 24th Main, 5th Phase, JP Nagar, Bangalore",JP Nagar,95782788535,Daniel Tremper,SKU_91,12.90023,77.58587
48,"311, 15th Cross, 5th Phase, JP Nagar, Bangalore",JP Nagar,92874070081,Thomas Lyons,SKU_18,12.90622,77.59315
49,"Big Bazzar Building, JP Nagar, Bangalore",JP Nagar,28090773455,Antoine Robertson,SKU_130,12.88729,77.5817
50,"15, 7th Cross, Near Mother Teresa School, ITI Layout, Hosapalya Main Road, HSR, Bangalore",HSR,65216540873,Nathan Merkel,SKU_65,12.89963,77.64903
51,"119/19, Ground Floor, 10th Cross, Venkateshwara Layout, SG Palya, HSR, Bangalore",HSR,30262250302,Jenna Reed,SKU_136,12.9319,77.60736
52,"1554, Ground Floor, 19th Main, Sector 1, HSR, Bangalore",HSR,95752660397,William Wilson,SKU_9,12.91586,77.64479
53,"7th Cross, Sector 1, HSR, Bangalore",HSR,30449400919,Bonnie Heath,SKU_91,12.91966,77.65186
54,"27th Main road, Sriven Teesta, Near Raymond?s Showroom HSR, Bangalore",HSR,52917061849,Katrina Hilderbrandt,SKU_8,12.91199,77.6518
55,"2331, 17th Cross, 24th Main, HSR, Bangalore",HSR,41474085570,Terresa Breau,SKU_70,12.9121,77.64958
56,"Shop 5, LNR Building, Harlur Road, HSR, Bangalore",HSR,74962568491,Carol Pettway,SKU_93,12.89757,77.65878
57,"64&65, 27th Main Road, Sector 1, HSR Layout",HSR,33783112676,Glennie Delacruz,SKU_106,12.9366,77.6148
58,"27th Main, Near NIFT, Sector-1, HSR, Bangalore",HSR,40837739535,Margie Galvan,SKU_76,12.91248,77.65201
59,"2318, 27th Main Road, 1st Sector, HSR, Bangalore",HSR,42498449819,Kenneth Baker,SKU_82,12.91232,77.65167
60,"569/4, Sector 1, HSR, Bangalore",HSR,14699928469,Lucille Keirstead,SKU_123,12.91576,77.64931
61,"1554, Ground Floor, 19th Main, Sector - 1, HSR, Bangalore",HSR,54163870135,Tara Allen,SKU_47,12.91586,77.64479
62,"2733, 16th Cross, 27th Main, Opposite NIFT, Sector 1, HSR Layout, Bangalore, HSR, Bangalore",HSR,98967476662,Marshall Quinton,SKU_142,12.91248,77.65201
63,"543, 7th Cross, 24th Main, Opposite Nous Info Systems, Sector 1, HSR, Bangalore",HSR,94332983235,Gustavo Bailey,SKU_117,12.91951,77.64992
64,"13th Cross, 24th Main, Opposite Assetz Apartment, 1st Sector, HSR, Bangalore",HSR,21104565365,Kathleen Cantrell,SKU_76,12.91575,77.64901
65,"7th Cross Road, Agara Village, 1st Sector, HSR, Bangalore",HSR,78472305957,Donald Allen,SKU_139,12.91967,77.65105
66,"680-669, 13th Cross Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka",HSR,11910424508,Nanette Mcbride,SKU_89,12.91595,77.64929
67,"2724, 31st Main, 17th Cross, HSR, Bangalore",HSR,89394948450,David Webber,SKU_42,12.91279,77.6536
68,"1543, 7th Cross, 19th Main, 1st Sector, HSR, Bangalore",HSR,87898682349,Brian Isom,SKU_81,12.91967,77.65105
69,"1214, 17th Cross Road, Parangi Palaya, Sector 2, HSR Layout, Bangalore",HSR,71466613736,Ralph Martin,SKU_59,12.91182,77.64814
70,"Basement 2064, Siri Iris Building, 24th Main, N.R.T.A Enclave, HSR, Bangalore",HSR,58089927559,Dana Farley,SKU_89,12.91529,77.64891
71,"809/A, 27th Main, 100 Feet Road, 1st Sector, HSR, Bangalore",HSR,85539430303,Sherry Ludlam,SKU_50,12.92212,77.65145
72,"Building 2686, 31 Main, 13 Cross, Sector 1, Behind CPWD Quarters, HSR Layout, HSR, Bangalore",HSR,85984892588,Amber Smith,SKU_147,12.91571,77.65253
73,"191, Ground Floor, 27th Main Road, Near CPWD Quarters, Beside Lawrance & Mayo, Sector 2, HSR, Bangalore",HSR,53402748741,Juanita Pahulu,SKU_53,12.91571,77.65253
74,"2633, 27th Main, 13th Cross, 1st Sector, Liss Arcade, HSR, Bangalore",HSR,49002247401,Mary Davis,SKU_13,12.9215,77.65155
75,"1548, 19th Main, Outer Ring Road, Opposite BMTC Bus Depot, HSR, Bangalore",HSR,29805721561,Carma Haynie,SKU_41,12.98694,77.68995
76,"2733, 16th Cross, 27th Main Road, Oppsite, NIFT College, 1st Sector, HSR Layout, Bangalore",HSR,84618864102,Daniel Miller,SKU_119,12.91248,77.65201
77,"2610, 27th Main, Near NIFT, HSR Layout, HSR, Bangalore",HSR,50745703670,Christopher Porter,SKU_106,12.91248,77.65201
78,"1, 328, 27th Main, 21st Cross, Sector 2, HSR, Bangalore",HSR,89111417547,Larry Herndon,SKU_48,12.9088,77.65227
79,"49, Agara Circle, Near Hanuman Statue, HSR Layout, HSR, Bangalore",HSR,56766768595,Elaine Watson,SKU_19,12.92106,77.64797
80,"Opposite NIFT College, 2733, 16th Cross, 27th Main Road, PWD Quarters, 1st Sector, HSR Layout, HSR, Bangalore",HSR,85469796479,Theodore Bunch,SKU_38,12.91267,77.65219
81,"#2733, 16th Cross, 27th Main, Opppsite NIFT College, Sector 1, HSR, Bangalore",HSR,31316164825,Joe Worley,SKU_110,12.91271,77.65248
82,"Next to Grigliato, Sector 1 , HSR Layout, HSR, Bangalore",HSR,18227945733,Amber Johnson,SKU_55,12.91576,77.64931
83,"2606, Ground Floor, The Ambience Building, 16th Cross, 27th Main, Sector 1, HSR, Bangalore",HSR,94402524628,Howard Roman,SKU_85,12.9125,77.65184
84,"2802, 27th Main Road, Sector 1, HSR, Bangalore",HSR,46205581478,Benjamin Smith,SKU_103,12.91516,77.65178
85,"1562, Sector 1, HSR, Bangalore",HSR,22921695090,Charles Trembley,SKU_2,12.91576,77.64931
86,"2738, 27th Main, Sector 1, HSR, Bangalore",HSR,91311238475,Marissa Coram,SKU_28,12.91289,77.65177
87,"646, 12th Cross, 27th Main, Sector 1, HSR, Bangalore",HSR,89040589151,Iva Bell,SKU_20,12.91654,77.65169
88,"647, Ground Floor, 27th Main Road, Sector 1, HSR, Bangalore",HSR,96874607527,Frances Chai,SKU_110,12.9169,77.65171
89,"191, First Floor, 27th Main, Sector 2, HSR, Bangalore",HSR,17354068059,Clarence Fuller,SKU_69,12.90367,77.65015
90,"2317, 27th Main, Sector 1, Opposite NIFT College, HSR Layout, HSR, Bangalore",HSR,76687493477,Marvin Buck,SKU_73,12.91248,77.65201
91,"2628, 27th Main Road, 1st Sector, HSR Layout, Bangalore, HSR, Bangalore",HSR,50915970151,Milton Wilson,SKU_77,12.91466,77.65166
92,"1554, Ground Floor, 19th Main, Sector - 1, HSR, Bangalore",HSR,19365687734,Angela Hindman,SKU_34,12.91586,77.64479
93,"780, 12th Cross, 19th Main, HSR, Bangalore",HSR,20687322207,Carol Upchurch,SKU_10,12.91256,77.64464
94,"2606, The Ambience, 27th Main Road, 16th cross, HSR Layout",HSR,47082143365,Peggy Hwang,SKU_64,12.9169,77.65171
95,"331, Ground Floor, 27th Main, 2nd Stage, HSR, Bangalore",HSR,81727476606,William Sherman,SKU_146,12.91197,77.6141
96,"1548, 3rd Floor,19th Main Road, Sector 1, Agara Village, HSR, Bangalore",HSR,28764133976,Shana Davis,SKU_123,12.92183,77.64837
97,"Shop 339, 27th Main Road, HSR Layout Sector 2, Bangalore",HSR,66471762239,Jesus Rodriguez,SKU_106,12.90784,77.65174
98,"2610, 27th Main, Near NIFT, HSR Layout, HSR, Bangalore",HSR,28074155949,Thelma Howells,SKU_83,12.91248,77.65201
99,"1558, 19th Main, Ring Road, Near Indian Oil Petrol Bunk, Sector 1, HSR, Bangalore",HSR,39213602287,Raymond Huffman,SKU_50,13.02201,77.60075
100,"712, 6th Cross, 5th Main, Off 80 Feet Road, Indiranagar, Bangalore",Indiranagar,21225161006,Joanna Evetts,SKU_9,12.98241,77.64575
101,"14, 2nd Floor, Church Street, Bangalore",Indiranagar,15239382796,Virginia Cole,SKU_27,12.97459,77.60651
102,"First Floor, 14, Church Street, Bangalore",Indiranagar,99015056791,Normand Ashford,SKU_113,12.94458,77.62742
103,"36, Off MG Road, Church Street, Bangalore",Indiranagar,44759282449,Robert Olsen,SKU_83,12.95544,77.65491
104,"42, Church Street, Bangalore",Indiranagar,52059909281,Joyce Brothers,SKU_107,12.97538,77.60231
105,"19, Church Street, Bangalore",Indiranagar,73238382715,Raymond Hernandez,SKU_139,13.01031,77.6245
106,"33, High Gates Hotel, Church Street, Bangalore",Indiranagar,76893410434,George Garrett,SKU_10,12.97513,77.60325
107,"2, Church Street, Bangalore",Indiranagar,84366653069,Phyllis Ehlers,SKU_116,12.95616,77.65478
108,"46, Church Street, Bangalore",Indiranagar,41965274833,Ralph Evans,SKU_88,12.97566,77.60271
109,"9/3, Prestige Pearl House, Museum Road, Church Street, Bangalore",Indiranagar,40661403008,Shawn Reeves,SKU_23,12.97384,77.6033
110,"1A, Church Street, Bangalore",Indiranagar,59997033261,Lelia Wooten,SKU_114,12.97492,77.60549
111,"G-005, City Centre, 28/4, Church Street, Bangalore",Indiranagar,83381832974,Christopher Watters,SKU_106,12.97517,77.60409
112,"22, Amoeba Complex, Church Street, Bangalore",Indiranagar,98170732794,Twyla Nichols,SKU_1,12.97499,77.60491
113,Church Street,Indiranagar,69379883919,Joe Lawson,SKU_124,12.79093,77.75232
114,"24, Church Street, Bangalore",Indiranagar,70918939146,Mary Reed,SKU_127,12.97502,77.60475
115,"765, 1st Floor, 1st Main, Domlur Layout, Domlur, Bangalore",Indiranagar,81721151401,Scott Peabody,SKU_17,12.96036,77.63718
116,"8/ 9, 17th F Cross, 2nd Stage, Indiranagar, Bengaluru",Indiranagar,29925333677,Terry Mitchell,SKU_81,12.97823,77.63308
117,"Next to CMH Metro Station, CMH Road, Indiranagar, Bangalore",Indiranagar,46767096463,Thomas Viviano,SKU_146,12.97823,77.63838
118,"Ground Floor, Sri Shiva Sai Complex, 13th Cross, 7th Main, 2nd Stage, HAL, Off Double Road, Indiranagar, Bangalore",Indiranagar,92941598133,Joseph Boyd,SKU_129,12.97283,77.64054
119,"Domlur, Bangalore",Indiranagar,86841663173,George Douglas,SKU_17,12.94329,77.65602
120,"46, Church Street, Bangalore",Indiranagar,24472334890,Marjorie Williamson,SKU_91,12.97566,77.60271
121,"Shop 6, First Floor, Binnamangala First Stage, Indiranagar, Bangalore",Indiranagar,26105795180,Roger Bouldin,SKU_18,12.98413,77.64064
122,"970, 12th Main, 5th Cross, Indiranagar, Bangalore",Indiranagar,94667742985,Daniel Marrin,SKU_113,12.97,77.63892
123,"1088, 12th Main, HAL 2nd Stage, Off 100 Feet Road, Indiranagar, Bangalore",Indiranagar,38434272738,Trudy Moore,SKU_123,12.97172,77.64087
124,"181, 3rd Floor, Amar Jyothi Layout, Inner Ring Road, Domlur, Bangalore",Indiranagar,53198547414,Kathleen Thompson,SKU_110,12.95643,77.64146
125,"544, First Floor, Near Indiranagar Metro Station, CMH Road, Indiranagar, Bangalore",Indiranagar,38200322788,Michael Frasier,SKU_45,12.9785,77.63854
126,"212/A, 1st Main Road, Stage 2, Indiranagar, Bangalore",Indiranagar,47003637195,Marshall Parham,SKU_131,12.96544,77.63816
127,"598, 1st floor, 1st Cross, 1st A Main Road, Domlur Layout, Domlur, Bangalore",Indiranagar,89741372672,Sandra Downes,SKU_118,12.96008,77.63567
128,"598, 1st floor, 1st Cross, 1st A Main Road, Domlur Layout, 1st Stage, Domlur, Bangalore",Indiranagar,85725180680,Stanley Davis,SKU_72,12.96008,77.63567
129,"197/A, Double Road, 2nd Stage, Opposite HDFC Bank, Indiranagar, Bangalore",Indiranagar,70899793952,Gary Simmons,SKU_121,12.9778,77.63654
130,"G-005, City Centre, 28/4, Church Street, Bangalore",Indiranagar,61422999142,Aldo Edsall,SKU_45,12.97517,77.60409
131,"4, 39/1, St Mary's Building, 2nd Stage, Indiranagar, Bangalore",Indiranagar,55525210263,Mary Perez,SKU_55,12.97596,77.63594
132,"212/A, 1st Main Road, Stage 2, Indiranagar, Bangalore",Indiranagar,13337031353,Lawerence Lindsay,SKU_75,12.96544,77.63816
133,"48, Triumph Towers, Church Street, Bangalore",Indiranagar,73796529420,Jesse Suarez,SKU_98,12.97577,77.60183
134,"Srinivasan Towers, ESI Hospital Road, Off Double Road, Indiranagar, Bangalore",Indiranagar,55217454663,Joseph Jones,SKU_142,12.96803,77.63649
135,"Number 4 St Mary's Building, 39/1, 2nd Stage, Indiranagar, Bangalore",Indiranagar,38653109135,Samuel Sampley,SKU_148,12.97596,77.63594
136,"949, Ground Floor, HAL 2nd Stage, 12th Main, 100 feet Road, Indiranagar, Bangalore",Indiranagar,77604849495,Patricia Johnston,SKU_20,12.97024,77.63927
137,"50/1, Haridevpur, Shantala Nagar, Ashok Nagar, Church Street, Bangalore",Indiranagar,75568022308,Pam Trela,SKU_90,12.97475,77.60155
138,"1324, Double Road, 2nd Stage, Opposite Cauvery School, Indiranagar, Bangalore",Indiranagar,81655937477,Jose Williams,SKU_115,12.97626,77.63668
139,"1083, 12th main, 5th Cross, Indiranagar, Bangalore",Indiranagar,20550226542,Doria Ferguson,SKU_114,12.96999,77.63868
140,"949, 12th Main, Ground Floor, Off 100 Feet Road, Indiranagar, Bangalore",Indiranagar,62399381626,Harvey Tyner,SKU_91,12.97024,77.63927
141,"2nd Stage, Indiranagar, Bangalore",Indiranagar,91477551055,Thomas Lindquist,SKU_52,12.97596,77.63594
142,"3217, 13th Cross, Indiranagar, Bangalore",Indiranagar,66146763539,Shirlee Tennant,SKU_10,12.97324,77.63525
143,"12th Main, HAL 2nd Stage, ESI To Domlur, Service Road, Indiranagar, Bangalore",Indiranagar,84612864961,Shelia West,SKU_80,12.97019,77.64168
144,"12th Main Road Junction, Double Road, Indiranagar, Bangalore",Indiranagar,75506986031,Anna Bundy,SKU_86,12.97019,77.64168
145,"4, St Mary's Building, 2nd Stage, Indiranagar, Bangalore",Indiranagar,62280811516,Gertrude Frazier,SKU_70,12.97249,77.64116
146,"46/1, Cobalt Building, Church Street, Bangalore",Indiranagar,81065467193,Jeffrey Mekee,SKU_69,12.97566,77.60271
147,"39/7, 5th Cross, 6th Main, Appareddy Palya, Indiranagar, Bangalore",Indiranagar,79226518761,John Dennis,SKU_6,12.97394,77.63717
148,"949, 12th Main Rd, Appareddipalya, Indiranagar, Bengaluru, Karnataka",Indiranagar,65665446450,Mary Walton,SKU_61,12.97024,77.63927
149,"598, 1st Floor, 1st Cross, 1st A Main Road, Domlur Layout, 1st Stage, Domlur, Bangalore",Indiranagar,96249705883,Rosa Alvarez,SKU_18,12.96008,77.63567
150,"2/1 Unit 6, Hoodi Kodigehalli Road, Opposite Crystal Apartment, KR Puram, Bangalore",KR Puram,80856836359,Beverly Coleman,SKU_86,12.994,77.71764
151,"39, Aiyaapanagar Main Road, Near Krishna Community Hall, KR Puram, Bangalore",KR Puram,63269771781,Deanna Castille,SKU_43,13.00222,77.71234
152,"92, Kodigehalli Main Road, Ayyappa Nagar, KR Puram, Bangalore",KR Puram,81129879069,Virginia Hernandez,SKU_104,13.00461,77.7137
153,"Devasandra Main Road, Ayyappa Nagar, KR Puram, Bangalore",KR Puram,28529174781,Bryan Warthen,SKU_12,13.00431,77.71092
154,"92, Ground Floor, Muninanjappa Gardens, Kodigehalli Main Road, KR Puram, Bangalore",KR Puram,62724763094,Jacob Mccroy,SKU_67,13.06009,77.57659
155,"Coconut Garden Layout, Kodigehalli Main Road, KR Puram, Bangalore",KR Puram,62644046092,Sherry Cole,SKU_69,12.88951,77.60268
156,"21/28, Radhakrishna Nilaya, Opp SEA Institutions, Ayappa Nagar, KR Puram, Bangalore",KR Puram,17432534499,Verna White,SKU_132,13.00222,77.71234
157,"2/1 Unit 6, Hoodi Kodigehalli Road, Opposite Crystal Apartment, KR Puram, Bangalore",KR Puram,84273793675,James Horne,SKU_150,12.994,77.71764
158,"7, Anurhh Arcade, Hoodi Road, Kodigehalli Road, KR Puram, Bangalore",KR Puram,60381594139,Marlon Leonard,SKU_91,12.99667,77.71772
159,"76, Shruthi Layout, Basavanapura Main Road, KR Puram, Bangalore",KR Puram,61354798733,Matthew Bass,SKU_97,13.01195,77.70989
160,"7, Anurhh Arcade, Hoodi Road, Kodigehalli Road, KR Puram, Bangalore",KR Puram,60559333974,Romelia Phillips,SKU_12,12.99667,77.71772
161,"Shop 2, Kodigahalli Main Road, KR Puram",KR Puram,89948676925,James Carlen,SKU_73,12.9969,77.7179
162,"2/1 Unit 6, Hoodi Kodigehalli Road, Opposite Crystal Apartment, KR Puram, Bangalore",KR Puram,44140764186,Abraham Rehkop,SKU_142,12.994,77.71764
163,"44, Kodigehalli to Hoodi Main Road, Mahadevapura Post, KR Puram, Bangalore",KR Puram,34795550625,Diana Gerry,SKU_136,13.00427,77.71057
164,"7, Anurhh Arcade, Hoodi Road, Kodigehalli Road, KR Puram, Bangalore",KR Puram,81037487822,Carl Luskey,SKU_143,12.99667,77.71772
165,"2/1 Unit 6, Hoodi Kodigehalli Road, Opposite Crystal Apartment, KR Puram, Bangalore",KR Puram,47626343441,Virginia Hartzler,SKU_36,12.994,77.71764
166,"Shop 2, Kodigahalli Main Road, KR Puram",KR Puram,84014569034,Peggy Heisler,SKU_116,12.9969,77.7179
167,"7, Anurhh Arcade, Hoodi Road, Kodigehalli Road, KR Puram, Bangalore",KR Puram,15145909184,Tiffany Coker,SKU_70,12.99667,77.71772
168,"Near Bank Of India ATM, Ramka Colony, Bilekahalli, Marathahalli, Bangalore",MTH,35496906287,Jessica Blakely,SKU_41,12.90319,77.60287
169,"Near Bank Of India ATM, Ramka Colony, Bilekahalli, Marathahalli, Bangalore",MTH,47772983315,Larry Solomon,SKU_24,12.90319,77.60287
170,"595, Ground Floor, Kundalahalli, Varthur Hobli Mahadevpura, Marathahalli, Bangalore",MTH,25842170396,Jon Villanueva,SKU_79,12.9583,77.66626
171,"20/7, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",MTH,60147650973,Richard Wheeless,SKU_68,12.9391,77.69522
172,"20\5, Panathur Junction, Outer Ring Road, Kadubeessanahalli, Marathahalli, Bangalore",MTH,84961010116,John Kessler,SKU_8,12.9391,77.69522
173,"20/5, 1st Floor, Panathur Junction, Outer Ring Road, Marathahalli, Bangalore",MTH,19783328541,Anthony Torres,SKU_67,12.9391,77.69522
174,"Ibis Bengaluru, Opposite RMZ Ecospace Business Park, Sarjapur Outer Ring Road, Marathahalli, Bangalore",MTH,22195593543,Robert Michaud,SKU_33,12.92826,77.68217
175,"10/3, Devarabeesanahali, Outer Ring Road, Opposite Embassy Tech Park, Marathahalli, Bangalore",MTH,86439214657,Lola Lomago,SKU_66,12.98694,77.68995
176,"Shop 37, 3rd Cross, Outer Ring Road, Kadubisnahalli, Marathahalli, Bangalore",MTH,48712626536,Gary Nelson,SKU_7,12.90688,77.59936
177,"2nd Floor, All Season Super Market Building, Panathur Road, Kadubeesanahalli, Panathur, Marathahalli, Bangalore",MTH,79263517463,Willie Kirkwood,SKU_127,12.93717,77.70247
178,Best Of Bengal,MTH,32519389307,Diane Jones,SKU_91,12.93999,77.6958
179,"89/1, Tulasi Theater Road, Near SBR Palace, Marathahalli, Bangalore",MTH,98486281871,Terry Sanabria,SKU_150,12.9502,77.69731
180,"20/5, Narayanswamy Building, Kadubeesanahalli Bridge, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",MTH,48552195740,Barbara Capehart,SKU_42,12.9391,77.69522
181,"90/4, Above Sony Centre, Opposite Park Plaza, Outer Ring Road, Marathahalli, Bangalore",MTH,51656603551,Patrick Gilliam,SKU_55,12.94976,77.69973
182,"Kadubeesanahalli, Near Aricent Technologies, Marathahalli, Bangalore",MTH,19455702296,John Granderson,SKU_140,12.93813,77.69375
183,"94/2, Panathur Railway Station Road, Opp to JP Morgan (Outer Ring Road), Munnireddy Layout, Panathur, Bangalore",MTH,98312518779,Patricia Haislip,SKU_120,12.94243,77.69733
